category,question,answer,processed_question,processed_answer
treatment,What are the treatments for Lambert-Eaton Myasthenic Syndrome ?,"There is no cure for LEMS. Treatment is directed at decreasing the autoimmune response (through the use of steroids, plasmapheresis, or high-dose intravenous immunoglobulin) or improving the transmission of the disrupted electrical impulses by giving drugs such as di-amino pyridine or pyridostigmine bromide (Mestinon). For patients with small cell lung cancer, treatment of the cancer is the first priority.",treatment lambert eaton myasthenic syndrome,cure lem treatment directed decreasing autoimmune response use steroid plasmapheresis high dose intravenous immunoglobulin improving transmission disrupted electrical impulse giving drug amino pyridine pyridostigmine bromide mestinon patient small cell lung cancer treatment cancer first priority
outlook,What is the outlook for Lambert-Eaton Myasthenic Syndrome ?,The prognosis for individuals with LEMS varies. Those with LEMS not associated with malignancy have a benign overall prognosis. Generally the presence of cancer determines the prognosis.,outlook lambert eaton myasthenic syndrome,prognosis individual lem varies lem associated malignancy benign overall prognosis generally presence cancer determines prognosis
research,what research (or clinical trials) is being done for Lambert-Eaton Myasthenic Syndrome ?,"The NINDS supports research on neuromuscular disorders such as LEMS with the ultimate goal of finding ways to treat, prevent, and cure them.",research clinical trial done lambert eaton myasthenic syndrome,ninds support research neuromuscular disorder lem ultimate goal finding way treat prevent cure
information,What is (are) Swallowing Disorders ?,"Having trouble swallowing (dysphagia) is a symptom that accompanies a number of neurological disorders. The problem can occur at any stage of the normal swallowing process as food and liquid move from the mouth, down the back of the throat, through the esophagus and into the stomach. Difficulties can range from a total inability to swallow, to coughing or choking because the food or liquid is entering the windpipe, which is referred to as aspiration. When aspiration is frequent a person can be at risk of developing pneumonia. Food may get ""stuck"" in the throat or individuals may drool because they cannot swallow their saliva. Neurological conditions that can cause swallowing difficulties are: stroke (the most common cause of dysphagia); traumatic brain injury; cerebral palsy; Parkinson disease and other degenerative neurological disorders such as amyotrophic lateral sclerosis (ALS, also known as Lou Gehrig's disease), multiple sclerosis, progressive supranuclear palsy, Huntington disease, and myasthenia gravis. Muscular dystrophy and myotonic dystrophy are accompanied by dysphagia, which is also the cardinal symptom of oculopharyngeal muscular dystrophy, a rare, progressive genetic disorder.",swallowing disorder,trouble swallowing dysphagia symptom accompanies number neurological disorder problem occur stage normal swallowing process food liquid move mouth back throat esophagus stomach difficulty range total inability swallow coughing choking food liquid entering windpipe referred aspiration aspiration frequent person risk developing pneumonia food may get stuck throat individual may drool swallow saliva neurological condition cause swallowing difficulty stroke common cause dysphagia traumatic brain injury cerebral palsy parkinson disease degenerative neurological disorder amyotrophic lateral sclerosis al also known lou gehrig disease multiple sclerosis progressive supranuclear palsy huntington disease myasthenia gravis muscular dystrophy myotonic dystrophy accompanied dysphagia also cardinal symptom oculopharyngeal muscular dystrophy rare progressive genetic disorder
treatment,What are the treatments for Swallowing Disorders ?,"Changing a person's diet by adding thickeners helps many people, as does learning different ways to eat and chew that reduce the risk for aspiration. Occasionally drug therapy that helps the neurological disorder can also help dysphagia. In a few persons, botulinum toxin injections can help when food or liquid cannot enter the esophagus to get to the stomach. More severely disabled individuals may require surgery or the insertion of feeding tubes.",treatment swallowing disorder,changing person diet adding thickener help many people learning different way eat chew reduce risk aspiration occasionally drug therapy help neurological disorder also help dysphagia person botulinum toxin injection help food liquid enter esophagus get stomach severely disabled individual may require surgery insertion feeding tube
outlook,What is the outlook for Swallowing Disorders ?,"The prognosis depends upon the type of swallowing problem and the course of the neurological disorder that produces it. In some cases, dysphagia can be partially or completely corrected using diet manipulation or non-invasive methods. In others, especially when the dysphagia is causing aspiration and preventing adequate nutrition and causing weight loss, it may require aggressive intervention such as a feeding tube. For those with progressive degenerative neurological disorders, dysphagia will be only one in a cluster of symptoms and disabilities that have to be treated.",outlook swallowing disorder,prognosis depends upon type swallowing problem course neurological disorder produce case dysphagia partially completely corrected using diet manipulation non invasive method others especially dysphagia causing aspiration preventing adequate nutrition causing weight loss may require aggressive intervention feeding tube progressive degenerative neurological disorder dysphagia one cluster symptom disability treated
research,what research (or clinical trials) is being done for Swallowing Disorders ?,The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes at the National Institutes of Health conduct research related to dysphagia in their clinics and laboratories and support additional research through grants to major medical institutions across the country. Much of this research focuses on finding better ways to treat dysphagia.,research clinical trial done swallowing disorder,national institute neurological disorder stroke ninds institute national institute health conduct research related dysphagia clinic laboratory support additional research grant major medical institution across country much research focus finding better way treat dysphagia
information,What is (are) Post-Polio Syndrome ?,"Post-polio syndrome (PPS) is a condition that affects polio survivors many years after recovery from an initial attack of the poliomyelitis virus. PPS is characterized by a further weakening of muscles that were previously affected by the polio infection. The most common symptoms include slowly progressive muscle weakness, fatigue (both general and muscular), and a decrease in muscle size (muscular atrophy). Pain from joint deterioration and increasing skeletal deformities such as scoliosis are common. Some individuals experience only minor symptoms, while others develop more visible muscle weakness and atrophy. PPS is rarely life-threatening but the symptoms can interfere significantly with the individual's capacity to function independently. While polio is contagious, PPS is not transmissible. Only a polio survivor can develop PPS.",post polio syndrome,post polio syndrome pps condition affect polio survivor many year recovery initial attack poliomyelitis virus pps characterized weakening muscle previously affected polio infection common symptom include slowly progressive muscle weakness fatigue general muscular decrease muscle size muscular atrophy pain joint deterioration increasing skeletal deformity scoliosis common individual experience minor symptom others develop visible muscle weakness atrophy pps rarely life threatening symptom interfere significantly individual capacity function independently polio contagious pps transmissible polio survivor develop pps
treatment,What are the treatments for Post-Polio Syndrome ?,"Presently, no prevention has been found that can stop deterioration or reverse the deficits caused by the syndrome A number of controlled studies have demonstrated that nonfatiguing exercises may improve muscle strength and reduce tiredness. Doctors recommend that polio survivors follow standard healthy lifestyle practices: consuming a well-balanced diet, exercising judiciously (preferably under the supervision of an experienced health professional), and visiting a doctor regularly. There has been much debate about whether to encourage or discourage exercise for polio survivors or individuals who already have PPS. A commonsense approach, in which people use individual tolerance as their limit, is currently recommended. Preliminary studies indicate that intravenous immunoglobulin therapy may reduce pain, increase quality of life, and improve strength modestly.",treatment post polio syndrome,presently prevention found stop deterioration reverse deficit caused syndrome number controlled study demonstrated nonfatiguing exercise may improve muscle strength reduce tiredness doctor recommend polio survivor follow standard healthy lifestyle practice consuming well balanced diet exercising judiciously preferably supervision experienced health professional visiting doctor regularly much debate whether encourage discourage exercise polio survivor individual already pps commonsense approach people use individual tolerance limit currently recommended preliminary study indicate intravenous immunoglobulin therapy may reduce pain increase quality life improve strength modestly
outlook,What is the outlook for Post-Polio Syndrome ?,"PPS is a very slowly progressing condition marked by long periods of stability. The severity of PPS depends on the degree of the residual weakness and disability an individual has after the original polio attack. People who had only minimal symptoms from the original attack and subsequently develop PPS will most likely experience only mild PPS symptoms. People originally hit hard by the polio virus, who were left with severe residual weakness, may develop a more severe case of PPS with a greater loss of muscle function, difficulty in swallowing, and more periods of fatigue.",outlook post polio syndrome,pps slowly progressing condition marked long period stability severity pps depends degree residual weakness disability individual original polio attack people minimal symptom original attack subsequently develop pps likely experience mild pps symptom people originally hit hard polio virus left severe residual weakness may develop severe case pps greater loss muscle function difficulty swallowing period fatigue
research,what research (or clinical trials) is being done for Post-Polio Syndrome ?,"The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes of the National Institutes of Health (NIH) conduct research related to PPS in laboratories at the NIH, and also support additional PPS research through grants to major medical institutions across the country.",research clinical trial done post polio syndrome,national institute neurological disorder stroke ninds institute national institute health nih conduct research related pps laboratory nih also support additional pps research grant major medical institution across country
information,What is (are) Absence of the Septum Pellucidum ?,"The septum pellucidum (SP) is a thin membrane located at the midline of the brain between the two cerebral hemispheres, or halves of the brain.. It is connected to the corpus callosum -- a collection of nerve fibers that connect the cerebral hemispherers. This rare abnormality accompanies various malformations of the brain that affect intelligence, behavior, and the neurodevelopmental process, and seizures may occur. Children who are born without this membrane and also have other abnormalities--pituitary deficiencies and abnormal development of the optic disk--have a disorder known as septo-optic dysplasia. More information about this condition can be located at the NINDS Septo-Optic Dysplasia Information Page.",absence septum pellucidum,septum pellucidum thin membrane located midline brain two cerebral hemisphere half brain connected corpus callosum collection nerve fiber connect cerebral hemispherers rare abnormality accompanies various malformation brain affect intelligence behavior neurodevelopmental process seizure may occur child born without membrane also abnormality pituitary deficiency abnormal development optic disk disorder known septo optic dysplasia information condition located ninds septo optic dysplasia information page
treatment,What are the treatments for Absence of the Septum Pellucidum ?,Absence of the SP alone is not a disorder but is instead a characteristic noted in children with septo-optic dysplasia or other developmental anomalies.,treatment absence septum pellucidum,absence alone disorder instead characteristic noted child septo optic dysplasia developmental anomaly
outlook,What is the outlook for Absence of the Septum Pellucidum ?,"When the absence of the septum pellucidum is part of septo-optic dysplasia, the prognosis varies according to the presence and severity of associated symptoms. By itself, absence of the septum pellucidum is not life-threatening.",outlook absence septum pellucidum,absence septum pellucidum part septo optic dysplasia prognosis varies according presence severity associated symptom absence septum pellucidum life threatening
research,what research (or clinical trials) is being done for Absence of the Septum Pellucidum ?,The mission of the National Institute of Neurological Disorders and Stroke (NINDS) is to seek fundamental knowledge about the brain and nervous system ad to use that knowledge to reduce the burden of neurological disease. The NINDS conducts and supports a wide range of studies that explore the complex mechanisms of normal brain development. The knowledge gained from these fundamental studies provides the foundation for understanding how this process can go awry and offers hope for new means to treat and prevent developmental brain disorders.,research clinical trial done absence septum pellucidum,mission national institute neurological disorder stroke ninds seek fundamental knowledge brain nervous system use knowledge reduce burden neurological disease ninds conduct support wide range study explore complex mechanism normal brain development knowledge gained fundamental study provides foundation understanding process awry offer hope new mean treat prevent developmental brain disorder
information,What is (are) Peripheral Neuropathy ?,"Peripheral neuropathy describes damage to the peripheral nervous system, which transmits information from the brain and spinal cord to every other part of the body.
                
More than 100 types of peripheral neuropathy have been identified, each with its own characteristic set of symptoms, pattern of development, and prognosis. Impaired function and symptoms depend on the type of nerves -- motor, sensory, or autonomic -- that are damaged. Some people may experience temporary numbness, tingling, and pricking sensations, sensitivity to touch, or muscle weakness. Others may suffer more extreme symptoms, including burning pain (especially at night), muscle wasting, paralysis, or organ or gland dysfunction. Peripheral neuropathy may be either inherited or acquired. Causes of acquired peripheral neuropathy include physical injury (trauma) to a nerve, tumors, toxins, autoimmune responses, nutritional deficiencies, alcoholism, medical procedures, and vascular and metabolic disorders. Acquired peripheral neuropathies are caused by systemic disease, trauma from external agents, or infections or autoimmune disorders affecting nerve tissue. Inherited forms of peripheral neuropathy are caused by inborn mistakes in the genetic code or by new genetic mutations.",peripheral neuropathy,peripheral neuropathy describes damage peripheral nervous system transmits information brain spinal cord every part body type peripheral neuropathy identified characteristic set symptom pattern development prognosis impaired function symptom depend type nerve motor sensory autonomic damaged people may experience temporary numbness tingling pricking sensation sensitivity touch muscle weakness others may suffer extreme symptom including burning pain especially night muscle wasting paralysis organ gland dysfunction peripheral neuropathy may either inherited acquired cause acquired peripheral neuropathy include physical injury trauma nerve tumor toxin autoimmune response nutritional deficiency alcoholism medical procedure vascular metabolic disorder acquired peripheral neuropathy caused systemic disease trauma external agent infection autoimmune disorder affecting nerve tissue inherited form peripheral neuropathy caused inborn mistake genetic code new genetic mutation
treatment,What are the treatments for Peripheral Neuropathy ?,"No medical treatments exist that can cure inherited peripheral neuropathy. However, there are therapies for many other forms. In general, adopting healthy habits -- such as maintaining optimal weight, avoiding exposure to toxins, following a physician-supervised exercise program, eating a balanced diet, correcting vitamin deficiencies, and limiting or avoiding alcohol consumption -- can reduce the physical and emotional effects of peripheral neuropathy. Systemic diseases frequently require more complex treatments.",treatment peripheral neuropathy,medical treatment exist cure inherited peripheral neuropathy however therapy many form general adopting healthy habit maintaining optimal weight avoiding exposure toxin following physician supervised exercise program eating balanced diet correcting vitamin deficiency limiting avoiding alcohol consumption reduce physical emotional effect peripheral neuropathy systemic disease frequently require complex treatment
outlook,What is the outlook for Peripheral Neuropathy ?,"In acute neuropathies, such as Guillain-Barr syndrome, symptoms appear suddenly, progress rapidly, and resolve slowly as damaged nerves heal. In chronic forms, symptoms begin subtly and progress slowly. Some people may have periods of relief followed by relapse. Others may reach a plateau stage where symptoms stay the same for many months or years. Some chronic neuropathies worsen over time, but very few forms prove fatal unless complicated by other diseases. Occasionally the neuropathy is a symptom of another disorder.",outlook peripheral neuropathy,acute neuropathy guillain barr syndrome symptom appear suddenly progress rapidly resolve slowly damaged nerve heal chronic form symptom begin subtly progress slowly people may period relief followed relapse others may reach plateau stage symptom stay many month year chronic neuropathy worsen time form prove fatal unless complicated disease occasionally neuropathy symptom another disorder
research,what research (or clinical trials) is being done for Peripheral Neuropathy ?,"The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes of the National Institutes of Health (NIH) conduct research related to peripheral neuropathies in laboratories at the NIH and also support additional research through grants to major medical institutions across the country. Current research projects funded by the NINDS involve investigations of genetic factors associated with hereditary neuropathies, studies of biological mechanisms involved in diabetes-associated neuropathies, and investigations exploring how the immune system contributes to peripheral nerve damage. Neuropathic pain is a primary target of NINDS-sponsored studies aimed at developing more effective therapies for symptoms of peripheral neuropathy. Some scientists hope to identify substances that will block the brain chemicals that generate pain signals, while others are investigating the pathways by which pain signals reach the brain.",research clinical trial done peripheral neuropathy,national institute neurological disorder stroke ninds institute national institute health nih conduct research related peripheral neuropathy laboratory nih also support additional research grant major medical institution across country current research project funded ninds involve investigation genetic factor associated hereditary neuropathy study biological mechanism involved diabetes associated neuropathy investigation exploring immune system contributes peripheral nerve damage neuropathic pain primary target ninds sponsored study aimed developing effective therapy symptom peripheral neuropathy scientist hope identify substance block brain chemical generate pain signal others investigating pathway pain signal reach brain
information,What is (are) Microcephaly ?,"Microcephaly is a medical condition in which the circumference of the head is smaller than normal because the brain has not developed properly or has stopped growing. Microcephaly can be present at birth or it may develop in the first few years of life. It is most often caused by genetic abnormalities that interfere with the growth of the cerebral cortex during the early months of fetal development. Babies may also be born with microcephaly if, during pregnancy, their mother abused drugs or alcohol; became infected with a cytomegalovirus, rubella (German measles), varicella (chicken pox) virus, or possibly Zika virus; was exposed to certain toxic chemicals; or had untreated phenylketonuria (PKU, a harmful buildup of the amino acid phenylalanine in the blood). Microcephaly is associated with Downs syndrome, chromosomal syndromes, and neurometabolic syndromes.
                
With viral-induced brain injury, such as with the Zika virus, there is often widespread tissue and cell death leading to brain shrinkage rather than simply impaired growth. The Zika virus is also associated with retinal lesions in about a third of cases, often leading to blindness.
                
Depending on the severity of the accompanying syndrome, children with microcephaly may have impaired cognitive development, delayed motor functions and speech, facial distortions, dwarfism or short stature, hyperactivity, seizures, difficulties with coordination and balance, and other brain or neurological abnormalities.",microcephaly,microcephaly medical condition circumference head smaller normal brain developed properly stopped growing microcephaly present birth may develop first year life often caused genetic abnormality interfere growth cerebral cortex early month fetal development baby may also born microcephaly pregnancy mother abused drug alcohol became infected cytomegalovirus rubella german measles varicella chicken pox virus possibly zika virus exposed certain toxic chemical untreated phenylketonuria pku harmful buildup amino acid phenylalanine blood microcephaly associated down syndrome chromosomal syndrome neurometabolic syndrome viral induced brain injury zika virus often widespread tissue cell death leading brain shrinkage rather simply impaired growth zika virus also associated retinal lesion third case often leading blindness depending severity accompanying syndrome child microcephaly may impaired cognitive development delayed motor function speech facial distortion dwarfism short stature hyperactivity seizure difficulty coordination balance brain neurological abnormality
treatment,What are the treatments for Microcephaly ?,"There is no treatment for microcephaly that can return a childs head to a normal size or shape. Treatment focuses on ways to decrease the impact of the associated deformities and neurological disabilities. Children with microcephaly and developmental delays are usually evaluated by a pediatric neurologist and followed by a medical management team. Early childhood intervention programs that involve physical, speech, and occupational therapists help to maximize abilities and minimize dysfunction. Medications are often used to control seizures, hyperactivity, and neuromuscular symptoms. Genetic counseling may help families understand the risk for microcephaly in subsequent pregnancies.",treatment microcephaly,treatment microcephaly return child head normal size shape treatment focus way decrease impact associated deformity neurological disability child microcephaly developmental delay usually evaluated pediatric neurologist followed medical management team early childhood intervention program involve physical speech occupational therapist help maximize ability minimize dysfunction medication often used control seizure hyperactivity neuromuscular symptom genetic counseling may help family understand risk microcephaly subsequent pregnancy
outlook,What is the outlook for Microcephaly ?,"Some children with microcephaly will have normal intelligence and a head that will grow bigger, but they may track below the normal growth curves for head circumference. Some children may have only mild disability, while those with more severe cases may face significant learning disabilities, cognitive delays, or develop other neurological disorders. Many, if not most, cases if Zika microcephaly will be very severe, possibly requiring lifelong intensive care.",outlook microcephaly,child microcephaly normal intelligence head grow bigger may track normal growth curve head circumference child may mild disability severe case may face significant learning disability cognitive delay develop neurological disorder many case zika microcephaly severe possibly requiring lifelong intensive care
research,what research (or clinical trials) is being done for Microcephaly ?,"The National Institute of Neurological Disorders and Stroke (NINDS), one of several institutes of the National Institutes of Health (NIH), conducts and funds research aimed at understanding normal brain development, as well as disease-related disorders of the brain and nervous system. Other NIH institutes and centers also support research on disorders that may affect development. Among several projects, scientists are studying genetic mechanisms and identifying novel genes involved with brain development. Animal models are helping scientists to better understand the pathology of human disease, and to discover how the sizes of tissues and organs are impacted by developmental variability. Other researchers hope to gain a better understanding of normal brain development and the molecular and cellular mechanisms of microcephaly.",research clinical trial done microcephaly,national institute neurological disorder stroke ninds one several institute national institute health nih conduct fund research aimed understanding normal brain development well disease related disorder brain nervous system nih institute center also support research disorder may affect development among several project scientist studying genetic mechanism identifying novel gene involved brain development animal model helping scientist better understand pathology human disease discover size tissue organ impacted developmental variability researcher hope gain better understanding normal brain development molecular cellular mechanism microcephaly
information,What is (are) Erb-Duchenne and Dejerine-Klumpke Palsies ?,"The brachial plexus is a network of nerves that conducts signals from the spine to the shoulder, arm, and hand. Brachial plexus injuries are caused by damage to those nerves. Erb-Duchenne (Erb's) palsy refers to paralysis of the upper brachial plexus. Dejerine-Klumpke (Klumpke's) palsy refers to paralysis of the lower brachial plexus. Although injuries can occur at any time, many brachial plexus injuries happen when a baby's shoulders become impacted during delivery and the brachial plexus nerves stretch or tear. There are four types of brachial plexus injuries: avulsion, the most severe type, in which the nerve is torn from the spine; rupture, in which the nerve is torn but not at the spinal attachment; neuroma, in which the nerve has torn and healed but scar tissue puts pressure on the injured nerve and prevents it from conducting signals to the muscles; and neuropraxia or stretch, in which the nerve has been damaged but not torn. Neuropraxia is the most common type of brachial plexus injury. Symptoms of brachial plexus injury may include a limp or paralyzed arm; lack of muscle control in the arm, hand, or wrist; and lack of feeling or sensation in the arm or hand.",erb duchenne dejerine klumpke palsy,brachial plexus network nerve conduct signal spine shoulder arm hand brachial plexus injury caused damage nerve erb duchenne erb palsy refers paralysis upper brachial plexus dejerine klumpke klumpke palsy refers paralysis lower brachial plexus although injury occur time many brachial plexus injury happen baby shoulder become impacted delivery brachial plexus nerve stretch tear four type brachial plexus injury avulsion severe type nerve torn spine rupture nerve torn spinal attachment neuroma nerve torn healed scar tissue put pressure injured nerve prevents conducting signal muscle neuropraxia stretch nerve damaged torn neuropraxia common type brachial plexus injury symptom brachial plexus injury may include limp paralyzed arm lack muscle control arm hand wrist lack feeling sensation arm hand
treatment,What are the treatments for Erb-Duchenne and Dejerine-Klumpke Palsies ?,"Some brachial plexus injuries may heal without treatment. Many children who are injured during birth improve or recover by 3 to 4 months of age. Treatment for brachial plexus injuries includes physical therapy and, in some cases, surgery.",treatment erb duchenne dejerine klumpke palsy,brachial plexus injury may heal without treatment many child injured birth improve recover month age treatment brachial plexus injury includes physical therapy case surgery
outlook,What is the outlook for Erb-Duchenne and Dejerine-Klumpke Palsies ?,"The site and type of brachial plexus injury determines the prognosis. For avulsion and rupture injuries, there is no potential for recovery unless surgical reconnection is made in a timely manner. The potential for recovery varies for neuroma and neuropraxia injuries. Most individuals with neuropraxia injuries recover spontaneously with a 90-100 percent return of function.",outlook erb duchenne dejerine klumpke palsy,site type brachial plexus injury determines prognosis avulsion rupture injury potential recovery unless surgical reconnection made timely manner potential recovery varies neuroma neuropraxia injury individual neuropraxia injury recover spontaneously percent return function
research,what research (or clinical trials) is being done for Erb-Duchenne and Dejerine-Klumpke Palsies ?,The NINDS conducts and supports research on injuries to the nervous system such as brachial plexus injuries. Much of this research is aimed at finding ways to prevent and treat these disorders.,research clinical trial done erb duchenne dejerine klumpke palsy,ninds conduct support research injury nervous system brachial plexus injury much research aimed finding way prevent treat disorder
information,What is (are) Dementia With Lewy Bodies ?,"Dementia with Lewy bodies (DLB) is one of the most common types of progressive dementia. The central features of DLB include progressive cognitive decline, fluctuations in alertness and attention, visual hallucinations, and parkinsonian motor symptoms, such as slowness of movement, difficulty walking, or rigidity. People may also suffer from depression. The symptoms of DLB are caused by the build-up of Lewy bodies  accumulated bits of alpha-synuclein protein -- inside the nuclei of neurons in areas of the brain that control particular aspects of memory and motor control. Researchers dont know exactly why alpha-synuclein accumulates into Lewy bodies or how Lewy bodies cause the symptoms of DLB, but they do know that alpha-synuclein accumulation is also linked to Parkinson's disease, multiple system atrophy, and several other disorders, which are referred to as the ""synucleinopathies."" The similarity of symptoms between DLB and Parkinsons disease, and between DLB and Alzheimers disease, can often make it difficult for a doctor to make a definitive diagnosis. In addition, Lewy bodies are often also found in the brains of people with Parkinson's and Alzheimers diseases. These findings suggest that either DLB is related to these other causes of dementia or that an individual can have both diseases at the same time. DLB usually occurs sporadically, in people with no known family history of the disease. However, rare familial cases have occasionally been reported.",dementia lewy body,dementia lewy body dlb one common type progressive dementia central feature dlb include progressive cognitive decline fluctuation alertness attention visual hallucination parkinsonian motor symptom slowness movement difficulty walking rigidity people may also suffer depression symptom dlb caused build lewy body accumulated bit alpha synuclein protein inside nucleus neuron area brain control particular aspect memory motor control researcher dont know exactly alpha synuclein accumulates lewy body lewy body cause symptom dlb know alpha synuclein accumulation also linked parkinson disease multiple system atrophy several disorder referred synucleinopathies similarity symptom dlb parkinson disease dlb alzheimers disease often make difficult doctor make definitive diagnosis addition lewy body often also found brain people parkinson alzheimers disease finding suggest either dlb related cause dementia individual disease time dlb usually occurs sporadically people known family history disease however rare familial case occasionally reported
treatment,What are the treatments for Dementia With Lewy Bodies ?,"There is no cure for DLB. Treatments are aimed at controlling the cognitive, psychiatric, and motor symptoms of the disorder. Acetylcholinesterase inhibitors, such as donepezil and rivastigmine, are primarily used to treat the cognitive symptoms of DLB, but they may also be of some benefit in reducing the psychiatric and motor symptoms. Doctors tend to avoid prescribing antipsychotics for hallucinatory symptoms of DLB because of the risk that neuroleptic sensitivity could worsen the motor symptoms. Some individuals with DLB may benefit from the use of levodopa for their rigidity and loss of spontaneous movement.",treatment dementia lewy body,cure dlb treatment aimed controlling cognitive psychiatric motor symptom disorder acetylcholinesterase inhibitor donepezil rivastigmine primarily used treat cognitive symptom dlb may also benefit reducing psychiatric motor symptom doctor tend avoid prescribing antipsychotic hallucinatory symptom dlb risk neuroleptic sensitivity could worsen motor symptom individual dlb may benefit use levodopa rigidity loss spontaneous movement
outlook,What is the outlook for Dementia With Lewy Bodies ?,"Like Alzheimers disease and Parkinsons disease, DLB is a neurodegenerative disorder that results in progressive intellectual and functional deterioration. There are no known therapies to stop or slow the progression of DLB. Average survival after the time of diagnosis is similar to that in Alzheimers disease, about 8 years, with progressively increasing disability.",outlook dementia lewy body,like alzheimers disease parkinson disease dlb neurodegenerative disorder result progressive intellectual functional deterioration known therapy stop slow progression dlb average survival time diagnosis similar alzheimers disease year progressively increasing disability
research,what research (or clinical trials) is being done for Dementia With Lewy Bodies ?,"The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes of the National Institutes of Health conduct research related to DLB in laboratories at the NIH and support additional research through grants to major medical institutions across the country. Much of this research focuses on searching for the genetic roots of DLB, exploring the molecular mechanisms of alpha-synuclein accumulation, and discovering how Lewy bodies cause the particular symptoms of DLB and the other synucleinopathies. The goal of NINDS research is to find better ways to prevent, treat, and ultimately cure disorders such as DLB.",research clinical trial done dementia lewy body,national institute neurological disorder stroke ninds institute national institute health conduct research related dlb laboratory nih support additional research grant major medical institution across country much research focus searching genetic root dlb exploring molecular mechanism alpha synuclein accumulation discovering lewy body cause particular symptom dlb synucleinopathies goal ninds research find better way prevent treat ultimately cure disorder dlb
information,What is (are) Encephalitis Lethargica ?,"Encephalitis lethargica is a disease characterized by high fever, headache, double vision, delayed physical and mental response, and lethargy. In acute cases, patients may enter coma. Patients may also experience abnormal eye movements, upper body weakness, muscular pains, tremors, neck rigidity, and behavioral changes including psychosis. The cause of encephalitis lethargica is unknown. Between 1917 to 1928, an epidemic of encephalitis lethargica spread throughout the world, but no recurrence of the epidemic has since been reported. Postencephalitic Parkinson's disease may develop after a bout of encephalitis-sometimes as long as a year after the illness.",encephalitis lethargica,encephalitis lethargica disease characterized high fever headache double vision delayed physical mental response lethargy acute case patient may enter coma patient may also experience abnormal eye movement upper body weakness muscular pain tremor neck rigidity behavioral change including psychosis cause encephalitis lethargica unknown epidemic encephalitis lethargica spread throughout world recurrence epidemic since reported postencephalitic parkinson disease may develop bout encephalitis sometimes long year illness
treatment,What are the treatments for Encephalitis Lethargica ?,Treatment for encephalitis lethargica is symptomatic. Levodopa and other antiparkinson drugs often produce dramatic responses.,treatment encephalitis lethargica,treatment encephalitis lethargica symptomatic levodopa antiparkinson drug often produce dramatic response
outlook,What is the outlook for Encephalitis Lethargica ?,The course of encephalitis lethargica varies depending upon complications or accompanying disorders.,outlook encephalitis lethargica,course encephalitis lethargica varies depending upon complication accompanying disorder
research,what research (or clinical trials) is being done for Encephalitis Lethargica ?,"The NINDS supports research on disorders that affect the brain, such as encephalitis lethargica, with the goal of finding ways to prevent and treat them. (The disease was the subject of the book and film, ""Awakenings."")",research clinical trial done encephalitis lethargica,ninds support research disorder affect brain encephalitis lethargica goal finding way prevent treat disease subject book film awakening
information,What is (are) Cephalic Disorders ?,"Cephalic disorders are congenital conditions that stem from damage to or abnormal development of the budding nervous system. Most cephalic disorders are caused by a disturbance that occurs very early in the development of the fetal nervous system. Damage to the developing nervous system is a major cause of chronic, disabling disorders, and sometimes death in infants, children, and even adults. Cephalic disorders may be influenced by hereditary or genetic conditions or by environmental exposures during pregnancy (e.g., medication taken by the mother, maternal infection, exposure to radiation). Some cephalic disorders occur when the cranial sutures (the fibrous joints that connect the bones of the skull) join prematurely. Understanding the normal development of the human nervous system may lead to a better understanding of cephalic disorders.",cephalic disorder,cephalic disorder congenital condition stem damage abnormal development budding nervous system cephalic disorder caused disturbance occurs early development fetal nervous system damage developing nervous system major cause chronic disabling disorder sometimes death infant child even adult cephalic disorder may influenced hereditary genetic condition environmental exposure pregnancy medication taken mother maternal infection exposure radiation cephalic disorder occur cranial suture fibrous joint connect bone skull join prematurely understanding normal development human nervous system may lead better understanding cephalic disorder
treatment,What are the treatments for Cephalic Disorders ?,"Treatments for cephalic disorders depend upon the particular type of disorder. For most cephalic disorders, treatment is only symptomatic and supportive. In some cases, anticonvulsant medications shunts, or physical therapy are appropriate.",treatment cephalic disorder,treatment cephalic disorder depend upon particular type disorder cephalic disorder treatment symptomatic supportive case anticonvulsant medication shunt physical therapy appropriate
outlook,What is the outlook for Cephalic Disorders ?,"The degree to which damage to the developing nervous system harms the mind and body varies enormously. Many disabilities are mild enough to allow those afflicted to eventually function independently in society. Others are not. Some infants, children, and adults die; others remain totally disabled; and an even larger population is partially disabled, functioning well below normal capacity.",outlook cephalic disorder,degree damage developing nervous system harm mind body varies enormously many disability mild enough allow afflicted eventually function independently society others infant child adult die others remain totally disabled even larger population partially disabled functioning well normal capacity
